Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_183.jpg;0;0.2473487;0;0.7122195;101.4489;87.77734;0.1732763;44.38242;0.1285939
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_232.jpg;0;0.09517541;0;0.6996721;101.4791;87.80678;0.1404467;44.38696;0.1516745
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_282.jpg;0;0;0;0.7203551;101.4994;87.82663;0.1253733;44.38125;0.1642497
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_333.jpg;0;0.09952968;0;0.7040865;101.5295;87.85607;0.09148847;44.37648;0.1788277
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_382.jpg;0;0.2498439;0;0.7258981;101.5501;87.87613;0.08319585;44.35735;0.1857592
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_433.jpg;0;0.09860782;0;0.7111994;101.581;87.90636;0.07483797;44.35303;0.191784
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_485.jpg;0;0;0;0.7300926;101.6122;87.93678;0.07144732;44.35595;0.1933131
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_532.jpg;0;0.0498432;0;0.7282878;101.6327;87.95679;0.05984473;44.35767;0.1920753
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_583.jpg;0;0.09965362;0;0.7244726;101.6532;87.97678;0.04681442;44.32571;0.1892093
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_632.jpg;0;0;0;0.725669;101.6846;88.00746;0.05069073;44.29215;0.1813968
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_683.jpg;0;0;0;0.7283725;101.7055;88.02779;0.04909427;44.28805;0.1741569
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_733.jpg;0;0.1499116;0;0.7178696;101.736;88.05751;0.02099747;44.32845;0.1610839
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_782.jpg;0;0.09931047;0;0.748576;101.7575;88.07852;0.04121121;44.39394;0.1515602
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_833.jpg;0;0;0;0.7351871;101.7887;88.10906;0.0377608;44.40113;0.1369797
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_882.jpg;0;0.05112766;0;0.7323458;101.8096;88.1296;0.03999559;44.40135;0.1264512
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_933.jpg;0;0.1049881;0;0.7246898;101.8407;88.15997;0.02869206;44.43097;0.1096911
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_982.jpg;0;0;0;0.7387981;101.8617;88.18061;0.03331797;44.47241;0.09834309
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_033.jpg;0;0;0;0.7344838;101.8932;88.21154;0.03765566;44.47149;0.08168201
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_083.jpg;0;0.14314;0;0.7215692;101.9136;88.23151;0.01890616;44.46918;0.07050071
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_133.jpg;0;0.1967793;0;0.7335637;101.9454;88.26278;0.03342267;44.49688;0.0537665
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_184.jpg;0;0.04719742;0;0.7421236;101.9666;88.28361;0.04079428;44.47658;0.04310767
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_233.jpg;0;0.05170537;0;0.7441434;101.9984;88.31488;0.05209963;44.47689;0.02735729
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_283.jpg;0;0.1975711;0;0.7455397;102.0198;88.33587;0.06258702;44.44387;0.01733064
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_332.jpg;0;0.1493186;0;0.7487487;102.0522;88.36763;0.08600231;44.29374;0.002696277
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_383.jpg;0;0;0;0.7473918;102.0736;88.3886;0.09492064;44.20756;359.9919
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_433.jpg;0;0.09999573;0;0.7400179;102.106;88.42013;0.1091272;44.18835;359.9756
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_482.jpg;0;0.2503734;0;0.7435674;102.1279;88.44138;0.1251243;44.20938;359.9655
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_532.jpg;0;0.298548;0;0.7628539;102.1617;88.47427;0.1757787;44.19074;359.9527
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_583.jpg;0;0.1472372;0;0.7867911;102.1845;88.49651;0.2146472;44.21066;359.9471
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_647.jpg;0;0;0;0.7740034;102.2297;88.54056;0.2623353;44.11747;359.9438
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_698.jpg;-2.871825;0;0;0.7770307;102.2524;88.56204;0.2727396;44.05624;359.9347
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_748.jpg;-0.6285889;0;0;0.7744761;102.2861;88.59404;0.2739131;43.96646;359.925
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_799.jpg;0;0;0;0.7728767;102.3082;88.61543;0.2674703;43.95996;359.9253
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_849.jpg;-1.465535;0;0;0.7704232;102.3414;88.64714;0.2481048;43.92771;359.9219
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_900.jpg;-3.754188;0;0;0.7686533;102.3637;88.66778;0.2286829;43.83046;359.91
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_948.jpg;-3.058595;0;0;0.7657703;102.3973;88.69822;0.1916099;43.619;359.8857
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_25_998.jpg;-0.8251002;0;0;0.7642741;102.4193;88.71869;0.1637617;43.54545;359.8793
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_26_050.jpg;0;0.05294988;0;0.7618343;102.4516;88.74934;0.1084684;43.53008;359.8829
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_26_098.jpg;0;0.2000376;0;0.7546539;102.4732;88.76988;0.07539489;43.54818;359.8866
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_26_148.jpg;0;0.1526455;0;0.7672786;102.5065;88.80155;0.05520261;43.60925;359.8942
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_26_199.jpg;0;0.001675744;0;0.7796416;102.5287;88.82271;0.0428278;43.71919;359.9005
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_26_249.jpg;0;0;0;0.7709985;102.5619;88.85444;0.02198137;43.73421;359.9134
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_26_300.jpg;0;0;0;0.7693002;102.5839;88.8755;0.005953754;43.73462;359.9224
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_26_348.jpg;1.462877;0;0;0.7667118;102.6166;88.90714;359.9796;43.76687;359.9412
